Title,ShortTitle,CallNumber,CatalogedGenre,Facsimile,TPDate,DateCert,CatalogedDate,MapDate,TPCity,LocationFromImprint,CatalogedCity,RegularizedStreetAddress,GeoCodeAddress,GeoLat,GeoLong,LicenseStatement,Registration,Author,Printer,Bookseller,Publisher,Contributor,Compiler,Reprint,Edition,Archive,Link
The shepherd of Salisbury Plain.,The shepherd of Salisbury Plain.,713910030,,Y,,specified,1795,1795-01-01,London; Bath,"No. 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard, Bow-Lane; Piccadilly, London; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183296
The history of Valentine and Orson.,The history of Valentine and Orson.,12877375,,Y,,specified,1799,1799-01-01,London,,London,"London, England","London, England, United Kingdom",51.509648,-0.099076,,,,,the Company of Walking Stationers,,,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183579
The cock-fighter : a true history.,The cock-fighter : a true history.,8354111,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183317
"Sunday reading, on the religious advantages of the present inhabitants of Great Britain.",Sunday reading,75285535,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Henry Thornton,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183298
A new history of a true book : in verse.,A new history of a true book : in verse.,745446186,,Y,,specified,1796,1796-01-01,London,"No. 17 Queen-Street, Cheapside, and No, 4 Aldermary Church-Yard; Picadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White ; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183000
"The history of Mary Wood, the house-maid, or, The danger of false excuses.","The history of Mary Wood, the house-maid",518101258,,Y,,specified,1796,1796-01-01,London,"No. 17 Queen-Street, Cheapside, and No, 4 Aldermary Church-Yard; Picadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,S. Hazard; J. Marshall; R. White,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183313
A hymn of praise for the abundant harvest of 1796.,A hymn of praise for the abundant harvest of 1796.,228743817,,Y,,specified,1796,1796-01-01,London,"No. 17 Queen-Street, Cheapside, and No, 4 Aldermary Church-Yard; Picadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183322
Daniel in the den of lions.,Daniel in the den of lions.,714876330,,Y,,specified,1795,1795-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly, London; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,, ,,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183301
"The good militia man, or, The man that is worth a host : being a new song by Honest Dan the plough-boy turned soldier.",The good militia man,13542132,,Y,,specified,1797,1797-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard ; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183325
The good mother's legacy.,The good mother's legacy.,8319006,,Y,,specified,1795,1795-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183302
"The Story of sinful Sally / told by herself ; shewing how from being Sally of the green she was first led to become sinful Sally, and afterwards Drunken Sal, and how at last she came to a most melancholy and almost hopeless end ; being therein a warning to all young women both in town and country.",The Story of sinful Sally,589841273,,Y,,specified,1796,1796-01-01,London,"No. 17 Queen-Street, Cheapside, and No, 4 Aldermary Church-Yard; Picadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard ,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183314
Hints to all ranks of people on the occasion of the present scarcity.,Hints to all ranks of people on the occasion of the present scarcity.,166593563,,Y,,specified,1795,1795-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183304
"The carpenter, or, The danger of evil company ; The gin-shop, or, A peep into a prison ; The riot, or, Half a loaf is better than no bread : in a dialogue between Jack Anvil and Tom Hod ; Patient Joe, or, The Newcastle collier. The execution of Wild Robert : being a warning to all parents. A new Christmas carol, called The Merry Chirstmas [sic] and Happy New Year.",The carpenter,713851812,,Y,,specified,1795,1795-01-01,London,,London,"London, England","London, England, United Kingdom",51.509648,-0.099076,,,Hannah More,J. Marshall,J. Marshall;  R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183292
"The way to plenty, or, The second part of Tom White.",The way to plenty,8318187,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183139
"The two wealthy farmers, or, The history of Mr. Bragwell. Part II.",The two wealthy farmers,679923049,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,"J. Marshall; R. White, Piccadilly; S. Hazard",,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183310
"The way to plenty ; or, The second part of Tom White",The way to plenty,714887935,,Y,,specified,1796,1796-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183306
"The history of Mr. Bragwell, or, The two wealthy farmers. Part III.",The history of Mr. Bragwell,63106736,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100182669
"John the shopkeeper turned sailor, or, The folly of going out of our element : Part II.",,717630759,,Y,,specified,1796,1796-01-01,London; Bath,"NO 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183316
John the shopkeeper turned sailor. Part III,John the shopkeeper turned sailor,425962338,,Y,,specified,1796,1796-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183321
"Cheap repository for moral & religious publications : the price of which is in general an halfpenny or a penny, and will seldom exceed two-pence : two or three new ones will be published every month.",Cheap repository for moral & religious publications,720033149,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183329
"Divine songs : attempted in easy language for the use of children / by I. Watts ; to which are added, Prayers for children.",Divine songs ,610201873,,Y,,specified,1796,1796-01-01,London,"Piccadilly, London",London,"Piccadilly , London, England","Piccadilly, London, England, United Kingdom",51.50519,-0.141748,,,Isaac Watts,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183141
The two soldiers.,The two soldiers.,713879078,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183297
"The two wealthy farmers, with the sad adventures of Miss Bragwell. Part V.",The two wealthy farmers,719371774,,Y,,specified,1797,1797-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard ; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183324
"The history of Hester Wilmot, or, The second part of The Sunday school.",The history of Hester Wilmot,13640173,,Y,,specified,1797,1797-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183328
"Husbandry moralized or, Pleasant Sunday reading for a farmer's kitchen; [Part I].",Husbandry moralized,8317082,,Y,,specified,1795,1795-01-01,London; Bath,"No 17, Queen-street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly; Bath",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall; R. White,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183295
The parable of the laborers in the vineyard.,The parable of the laborers in the vineyard.,714892116,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church; Piccadilly ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183308
Joseph and his brethren. Part IV.,Joseph and his brethren,13551796,,Y,,specified,1797,1797-01-01,London; Bath; Edinburgh,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard; Piccadilly, London; Bath; Edinburgh",London; Bath; Edinburgh,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; R. White; S. Hazard; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183327
"The touchstone, or, The way to know a true Christian : being a description of the character of our blessed Savior, with an inquiry whether we are like Him : to which is added, an appeal first to infidels, and then to persons who call themselves by the name of Christians.",The touchstone,63064800,,Y,,specified,1796,1796-01-01,London,"no. 17, Queen-street, Cheapside, and no. 4, Aldermary Church-yard; Piccadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall; S. Hazard,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183315
"A new riddle book, or, A whetstone for dull wits.",A new riddle book,317435391,,Y,,specified,1790,1790-01-01,Derby,,Derby,"Derby, England","City of Derby, England, United Kingdom",52.911693,-1.466971,,,,,travelling stationers,,,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183575
Noah's flood.,Noah's flood.,76906058,,Y,,specified,1795,1795-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall; S. Hazard,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183305
Joseph in prison. Part II.,Joseph in prison. Part II.,720026072,,Y,,specified,1797,1797-01-01,London; Bath; Edinburgh,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard; Bath; Edinburgh",London; Bath; Edinburgh,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,,J. Marshall,J. Marshall; S. Hazard; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183326
"The history of Hester Wilmot, or, The new gown. Part II : being a continuation of The Sunday school.",The history of Hester Wilmot,717486298,,Y,,specified,1797,1797-01-01,London,"No. 17, Queen-Street, Cheapside, and No.4, Aldermary Church-Yard ",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; S. Hazard; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183293
"The hackney coachman, or, The way to get a good fare : to the tune of ""I wish I was a fisherman,"" &c.",The hackney coachman,24181688,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard; Picadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall ; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183140
"Dan and Jane, or Faith and works : a tale.",Dan and Jane,13619418,,Y,,specified,1797,1797-01-01,London; Bath,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church-Yard; Bath; Edinburgh",London; Bath,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,, ,Hannah More,J. Marshall,J. Marshall;  S. Hazard; J. Elder,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183294
Nursery rhymes.,Nursery rhymes.,712648882,,Y,,specified,1790,1790-01-01,London,,London,"London, England","London, England, United Kingdom",51.509648,-0.099076,,,,,Printed for the Booksellers,,,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100183014
"Turn the carpet, or, The two weavers : a new song, in a dialogue between Dick and John.",Turn the carpet,24181742,,Y,,specified,1796,1796-01-01,London,"No. 17, Queen-Street, Cheapside, and No. 4, Aldermary Church Yard; Piccadilly",London,"17 Queen-Street, Cheapside, London, England","Queen Street, London, England, United Kingdom",51.513208,-0.092434,,,Hannah More,J. Marshall,J. Marshall; R. White; S. Hazard,,Cheap Repository for Religious and Moral Tracts,,,,McGill University Special Collections via HathiTrust,https://catalog.hathitrust.org/Record/100182999
